scene,floor,question,choices,question_formatted,answer,label
house_single_floor,0,"What percent of beds have a lamp next to them?","['75%','20%','50%','15%']","What percent of beds have a lamp next to them? A) 75% B) 20% C) 50% D) 15%. Answer:",C,binary_percent

house_single_floor,0,"What percent of chairs are next to a table and reclined?","['0%','15%','100%','43%']",What percent of chairs are next to a table and reclined? A) 0% B) 15% C) 100% D) 43%. Answer:",B,mixed_percent




Beechwood_0_int,0,"How many tables are there?","['2','4','8','10']","How many tables are there? A) 2 B) 4 C) 8 D) 10. Answer:", C, simple_count

Beechwood_0_int,0,"How many wooden shelves are there?","['2','4','6','9']","How many wooden shelves are there? A) 2 B) 4 C) 6 D) 9. Answer:",C,unary_count

Beechwood_0_int,0,"How many sinks have a toilet next to them?","['1','2','3','4']","How many sinks have a toilet next to them? A) 1 B) 2 C) 3 D) 4. Answer:",A,binary_count

Beechwood_0_int,0,"How many tables are not wooden and next to a chair?","['2','4','7','8']","How many tables are not wooden and next to a chair? A) 2 B) 4 C) 7 D) 8. Answer:",B,mixed_count

Beechwood_0_int,0,"What percent of sinks are porcelain?","['67%','70%','40%','0%']","What percent of sinks are porcelain? A) 67% B) 70% C) 40% D) 0%. Answer:",A,unary_percent

Beechwood_0_int,0,"What percent of tables are near a chair?","['25%','60%','75%','50%']","What percent of tables are near a chair? A) 25% B) 60% C) 75% D) 50%. Answer:",C,binary_percent

Beechwood_0_int,0,"What percent of tables are next to a chair and not wooden?","['0%','60%','80%','50%']","What percent of tables are next to a chair and not wooden? A) 0% B) 60% C) 80% D) 50%. Answer:",D,mixed_percent




Merom_0_int,0,"How many couches are there?","['0','2','3','5']","How many couches are there? A) 0 B) 2 C) 3 D) 5. Answer:",B,simple_count

Merom_0_int,0,"How many black couches are there?","['2','5','0','8']","How many black couches are there? A) 2 B) 5 C) 0 D) 8. Answer:",A,unary_count

Merom_0_int,0,"How many area rugs are beside a shelf","['1','2','4','5']","How many area rugs are beside a shelf? A) 1 B) 2 C) 4 D) 5. Answer:",C,binary_count

Merom_0_int,0,"How many wooden shelves don't have a TV on top of them?","['14','10','3','6']","How many wooden shelves don't have a TV on top of them? A) 14 B) 10 C) 3 D) 6. Answer:",D,mixed_count

Merom_0_int,0,"What percent of shelves are wooden?","['100%','40%','60%','0%']","What percent of shelves are wooden? A) 100% B) 40% C) 60% D) 0%. Answer:",A,unary_percent

Merom_0_int,0,"What percent of area rugs are beside a couch?","['24%','36%','43%','89%']","What percent of area rugs are beside a couch? A) 24% B) 36% C) 43% D) 89%. Answer:",B,binary_percent

Merom_0_int,0,"What percent of wooden shelves have a TV on top of them?","['76%','23%','14%','3%']","What percent of wooden shelves have a TV on top of them? A) 76% B) 23% C) 14% D) 3%. Answer:",C,mixed_percent
