scene,floor,question,choices,question_formatted,answer,label
00149-UuwwmrTsfBN,1,Is the patio door next to the dining table open?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the patio door next to the dining table open? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,location
00154-2dZ1Jivh5if,0,How many bar stools are placed at the kitchen counter?,"['Two', 'None', 'Three', 'Four']",How many bar stools are placed at the kitchen counter? A) Two B) None C) Three D) Four. Answer:,A,state
00155-iLDo95ZbDJq,0,"Is the bedroom closet open or closed, the bedroom with horse painting?","['It is closed', 'It is open', '(Do not choose this option)', '(Do not choose this option)']","Is the bedroom closet open or closed, the bedroom with horse painting? A) It is closed B) It is open C) (Do not choose this option) D) (Do not choose this option). Answer:",A,count
00158-YV9M9gZG3YJ,0,"Did I turn off the bed lamps in the main bedroom, the one with red pillows?","['They are on', '(Do not choose this option)', '(Do not choose this option)', 'They are off']","Did I turn off the bed lamps in the main bedroom, the one with red pillows? A) They are on B) (Do not choose this option) C) (Do not choose this option) D) They are off. Answer:",D,existence
00159-DfUQLukPMPc,0,How many bar stools we have in the basement?,"['Two', 'Three', 'One', 'Four']",How many bar stools we have in the basement? A) Two B) Three C) One D) Four. Answer:,A,location
00161-uFCiZVVks57,0,I'm trying to remember how many plates I put on the dining table.,"['Four', 'Eight', 'Twelve', 'None']",I'm trying to remember how many plates I put on the dining table. A) Four B) Eight C) Twelve D) None. Answer:,B,count
00166-RaYrxWt5pR1,0,I'm trying to remember how many bar stools are at the kitchen island.,"['Three', 'Five', 'Four', 'Two']",I'm trying to remember how many bar stools are at the kitchen island. A) Three B) Five C) Four D) Two. Answer:,D,state
00166-RaYrxWt5pR1,0,I'm looking for my laptop. It is on the bedroom dresser?,"['It is there', '(Do not choose this option)', '(Do not choose this option)', 'It is not there']",I'm looking for my laptop. It is on the bedroom dresser? A) It is there B) (Do not choose this option) C) (Do not choose this option) D) It is not there. Answer:,D,location
00167-yogvKWUrdnw,1,I'm looking for the black towel. Is it in the bathroom?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",I'm looking for the black towel. Is it in the bathroom? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,count
00170-S3r45BMWy6H,0,Is the ironing board set up in the room with the checkered floor?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is the ironing board set up in the room with the checkered floor? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,count
00170-S3r45BMWy6H,0,How many chairs are around the dining table in the room with the wooden floor and a red rug?,"['Six', 'Four', 'Eight', 'Two']",How many chairs are around the dining table in the room with the wooden floor and a red rug? A) Six B) Four C) Eight D) Two. Answer:,A,count
00171-mWqBmEyXcXN,1,How many of the shelves on the two bookshelves are completely empty?,"['One', 'None', 'Four', 'Two']",How many of the shelves on the two bookshelves are completely empty? A) One B) None C) Four D) Two. Answer:,B,location
00178-yqNxxJnA3iL,1,Is the green curtain in the bedroom closed?,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is open', 'Yes, it is closed']","Is the green curtain in the bedroom closed? A) (Do not choose this option) B) (Do not choose this option) C) No, it is open D) Yes, it is closed. Answer:",C,count
00185-NjyeoK5BLx3,0,Are the bar stools tucked under the kitchen island?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Are the bar stools tucked under the kitchen island? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,location
00187-GCCrNuhZ9WY,0,I'm expecting guests and need to check if the guest room is ready. Is the red pillow on the bed?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I'm expecting guests and need to check if the guest room is ready. Is the red pillow on the bed? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,D,location
00193-wwX4MFiTTrt,0,Did I put the fruit bar on the kitchen island?,"['No, not yet', '(Do not choose this option)', '(Do not choose this option)', 'Yes, you did']","Did I put the fruit bar on the kitchen island? A) No, not yet B) (Do not choose this option) C) (Do not choose this option) D) Yes, you did. Answer:",A,location
00202-yVbpFay8gTU,0,I'm expecting guests and need to set the table. How many chairs are missing around the dining table?,"['Four', 'Six', 'Two', 'None']",I'm expecting guests and need to set the table. How many chairs are missing around the dining table? A) Four B) Six C) Two D) None. Answer:,C,existence
00202-yVbpFay8gTU,1,I want to shower now. Are there towels on the bathtub?,"['No, there is none', 'Yes, there are', '(Do not choose this option)', '(Do not choose this option)']","I want to shower now. Are there towels on the bathtub? A) No, there is none B) Yes, there are C) (Do not choose this option) D) (Do not choose this option). Answer:",B,location
00202-yVbpFay8gTU,1,Did I put away the teepee or is it still on the bedroom floor?,"['(Do not choose this option)', 'It is still there', '(Do not choose this option)', 'It is not seen anywhere any more']",Did I put away the teepee or is it still on the bedroom floor? A) (Do not choose this option) B) It is still there C) (Do not choose this option) D) It is not seen anywhere any more. Answer:,B,existence
00203-VoVGtfYrpuQ,0,I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,identification
00203-VoVGtfYrpuQ,0,Is the air conditioning unit in the dining area still on?,"['(Do not choose this option)', ""Yes, it's on"", '(Do not choose this option)', ""No, it's not on""]","Is the air conditioning unit in the dining area still on? A) (Do not choose this option) B) Yes, it's on C) (Do not choose this option) D) No, it's not on. Answer:",D,location
00204-gxttMtT5ZGK,1,Is my backpack on the kitchen island?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is my backpack on the kitchen island? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00204-gxttMtT5ZGK,2,"How many white pillows are on the bed with the ""Sweetpea"" wall decoration?","['Four', 'Two', 'Three', 'One']","How many white pillows are on the bed with the ""Sweetpea"" wall decoration? A) Four B) Two C) Three D) One. Answer:",D,location
00208-SQqGpSHzfSr,0,I'm expecting a package to be delivered and left by the entrance. Is there a small parcel near the front door?,"['(Do not choose this option)', 'Yes, there is a parcel.', 'No, there is no parcel.', '(Do not choose this option)']","I'm expecting a package to be delivered and left by the entrance. Is there a small parcel near the front door? A) (Do not choose this option) B) Yes, there is a parcel. C) No, there is no parcel. D) (Do not choose this option). Answer:",C,existence
00217-qz3829g1Lzf,0,Did I leave any pot on the stove?,"['Two', 'None', 'Three', 'One']",Did I leave any pot on the stove? A) Two B) None C) Three D) One. Answer:,B,count
00217-qz3829g1Lzf,0,How many wooden chairs we have at the dining table right now?,"['Four', 'Eight', 'Six', 'Two']",How many wooden chairs we have at the dining table right now? A) Four B) Eight C) Six D) Two. Answer:,C,location
00217-qz3829g1Lzf,1,I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00218-fQHGxvurx9L,0,I forgot if there is any drawer under the bed with light-colored bedding.,"['There are drawers', '(Do not choose this option)', 'There is none', '(Do not choose this option)']",I forgot if there is any drawer under the bed with light-colored bedding. A) There are drawers B) (Do not choose this option) C) There is none D) (Do not choose this option). Answer:,A,existence
00224-8m2Sk2sC3DR,1,Is the balcony door in the main bedroom closed?,"['No, the door is open', 'Yes, it is closed', '(Do not choose this option)', '(Do not choose this option)']","Is the balcony door in the main bedroom closed? A) No, the door is open B) Yes, it is closed C) (Do not choose this option) D) (Do not choose this option). Answer:",B,existence
00227-bvdRzJBgJyg,0,Are the boots near the front door?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Are the boots near the front door? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,location
00227-bvdRzJBgJyg,0,Is the lamp under the wall mirror on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Is the lamp under the wall mirror on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,state
00228-d5faFfQRphr,0,Is the television in the main bedroom turned off?,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is on', 'Yes, it is off']","Is the television in the main bedroom turned off? A) (Do not choose this option) B) (Do not choose this option) C) No, it is on D) Yes, it is off. Answer:",D,existence
00240-q9CAdKfvar2,1,How many red chairs are there around the dining table?,"['Three', 'Four', 'Two', 'Five']",How many red chairs are there around the dining table? A) Three B) Four C) Two D) Five. Answer:,B,state
00245-741Fdj7NLF9,0,Can you check if I left the lamps on in the bedroom with gray bedding?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Can you check if I left the lamps on in the bedroom with gray bedding? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,count
00248-PM558qFsyi8,0,Is the television in the bedroom still on?,"['It is on', '(Do not choose this option)', '(Do not choose this option)', 'It is off']",Is the television in the bedroom still on? A) It is on B) (Do not choose this option) C) (Do not choose this option) D) It is off. Answer:,A,state
00256-92vYG1q49FY,0,Is the air conditioning at the entrance turned off?,"['It is off', '(Do not choose this option)', 'It is on', '(Do not choose this option)']",Is the air conditioning at the entrance turned off? A) It is off B) (Do not choose this option) C) It is on D) (Do not choose this option). Answer:,A,identification
00257-j2DKmTV5TPV,0,I want to take a shower. Is there shampoo in the shower?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",I want to take a shower. Is there shampoo in the shower? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00258-2Pc8W48bu21,0,I want to take a shower. Is there shampoo in the shower?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",I want to take a shower. Is there shampoo in the shower? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,state
00258-2Pc8W48bu21,1,I need to retrieve my pool cues. How many are on the pool table?,"['Four', 'Three', 'Two', 'One']",I need to retrieve my pool cues. How many are on the pool table? A) Four B) Three C) Two D) One. Answer:,B,existence
00262-1xGrZPxG1Hz,1,Are the candles by the entrace put out?,"['Yes, they are out', 'No, the flame still on', '(Do not choose this option)', '(Do not choose this option)']","Are the candles by the entrace put out? A) Yes, they are out B) No, the flame still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00268-mHJxL9jnCox,0,How many bookshelves are in the room with the piano?,"['None', 'Four', 'Six', 'Two']",How many bookshelves are in the room with the piano? A) None B) Four C) Six D) Two. Answer:,B,location
00273-8DDKELpgD99,0,Are the decorative candles on the mantelpiece above the fireplace?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Are the decorative candles on the mantelpiece above the fireplace? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,state
00275-4dbCzNN5L5t,0,"Is the ""Happy Birthday"" balloon still floating in the room with the toy car?","['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']","Is the ""Happy Birthday"" balloon still floating in the room with the toy car? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:",A,identification
00275-4dbCzNN5L5t,0,A guest is coming; are there pillows on the guest bed?,"['There are a bunch of them', 'There are two', 'There is one', 'There is none']",A guest is coming; are there pillows on the guest bed? A) There are a bunch of them B) There are two C) There is one D) There is none. Answer:,D,location
00281-mj5sKX44BmS,0,Is there still any soap at the bathroom sink?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is there still any soap at the bathroom sink? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,existence
00290-6HMiy15cxis,0,Is the piano lid put down?,"['(Do not choose this option)', 'Yes, it is down', '(Do not choose this option)', 'No, it is up']","Is the piano lid put down? A) (Do not choose this option) B) Yes, it is down C) (Do not choose this option) D) No, it is up. Answer:",B,location
00292-reHtN7VMWkg,0,Is the ceiling fan light in the porch off?,"['No, it is on', '(Do not choose this option)', 'Yes, it is off', '(Do not choose this option)']","Is the ceiling fan light in the porch off? A) No, it is on B) (Do not choose this option) C) Yes, it is off D) (Do not choose this option). Answer:",C,location
00292-reHtN7VMWkg,0,Are the black shades in the bedroom pulled down?,"['No, they are up', '(Do not choose this option)', '(Do not choose this option)', 'Yes, they are down']","Are the black shades in the bedroom pulled down? A) No, they are up B) (Do not choose this option) C) (Do not choose this option) D) Yes, they are down. Answer:",A,state
00297-jGdNyKqGZJw,0,I'm trying to remember where I placed my laptop. Is it on the outdoor table?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I'm trying to remember where I placed my laptop. Is it on the outdoor table? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,state
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,"['Two', 'Five', 'Three', 'Four']",How many sports balls are stored on the rack in the hallway? A) Two B) Five C) Three D) Four. Answer:,C,existence
00299-bdp1XNEdvmW,0,Are the monitors left on?,"['No, they are both off', 'Yes, one of them is on', '(Do not choose this option)', 'Yes, both of them are on']","Are the monitors left on? A) No, they are both off B) Yes, one of them is on C) (Do not choose this option) D) Yes, both of them are on. Answer:",B,count
00301-JiHGQpwKUvd,0,How many bar stools are there at the kitchen counter?,"['One', 'Four', 'Three', 'Two']",How many bar stools are there at the kitchen counter? A) One B) Four C) Three D) Two. Answer:,C,existence
00303-ghWQ5kHV97i,0,Does the kitchen island have any bar stools for seating?,"['Two stools', 'No stools', 'Three stools', 'One stool']",Does the kitchen island have any bar stools for seating? A) Two stools B) No stools C) Three stools D) One stool. Answer:,C,identification
00303-ghWQ5kHV97i,0,Is the bedroom wardrobe door closed?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is the bedroom wardrobe door closed? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00304-X6Pct1msZv5,0,Is the air conditioning in the bedroom with flower painting turned on?,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is off']","Is the air conditioning in the bedroom with flower painting turned on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is off. Answer:",B,state
00306-Y4L8fjz2yH7,0,Is there any shampoo in the shower already?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is there any shampoo in the shower already? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,state
00315-We1N7vBtyGm,1,Is there already some shampoo in the shower?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is there already some shampoo in the shower? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00323-yHLr6bvWsVm,0,Does the dining table have any fruit bowl on it?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Does the dining table have any fruit bowl on it? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,existence
00324-DoSbsoo4EAg,0,Is there already some shampoo at the shower?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is there already some shampoo at the shower? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00326-u9rPN5cHWBg,0,Are the bedroom lamps on?,"['(Do not choose this option)', 'No, they are off', 'Yes, they are on', '(Do not choose this option)']","Are the bedroom lamps on? A) (Do not choose this option) B) No, they are off C) Yes, they are on D) (Do not choose this option). Answer:",C,existence
00327-xgLmjqzoAzF,0,I was playing pool with friends. Are the balls put away from the table?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",I was playing pool with friends. Are the balls put away from the table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,location
00330-WhNyDTnd9g5,0,Are the pillows left on the porch chair?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Are the pillows left on the porch chair? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00330-WhNyDTnd9g5,2,Is the curtain shade pulled down in the kid's room?,"['Yes, it is down', 'No, it is up', '(Do not choose this option)', '(Do not choose this option)']","Is the curtain shade pulled down in the kid's room? A) Yes, it is down B) No, it is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00331-gGMMut83nsX,0,IHow many bar stools are at the kitchen counter?,"['Five', 'Four', 'Three', 'Two']",IHow many bar stools are at the kitchen counter? A) Five B) Four C) Three D) Two. Answer:,C,state
00331-gGMMut83nsX,0,Is the air conditioning in the dining space still on?,"['(Do not choose this option)', 'No, it is off', '(Do not choose this option)', 'Yes, it is still on']","Is the air conditioning in the dining space still on? A) (Do not choose this option) B) No, it is off C) (Do not choose this option) D) Yes, it is still on. Answer:",D,count
